stock_name,group,trading_symbol,instrument_key,ath,cp,prev_change_pct,today_change_pct,ema5,ema10,ema20,last_updated
360 ONE WAM Ltd.,Financial Services,360ONE,NSE_EQ|INE466L01038,1318.0,0,0,0,0,0,0,0
3M India Ltd.,Diversified,3MINDIA,NSE_EQ|INE470A01017,0.0,0,0,0,0,0,0,0
ABB India Ltd.,Capital Goods,ABB,NSE_EQ|INE117A01022,0.0,0,0,0,0,0,0,0
ACC Ltd.,Construction Materials,ACC,NSE_EQ|INE012A01025,0.0,0,0,0,0,0,0,0
ACME Solar Holdings Ltd.,Power,ACMESOLAR,NSE_EQ|INE622W01025,0.0,0,0,0,0,0,0,0
AIA Engineering Ltd.,Capital Goods,AIAENG,NSE_EQ|INE212H01026,0.0,0,0,0,0,0,0,0
APL Apollo Tubes Ltd.,Capital Goods,APLAPOLLO,NSE_EQ|INE702C01027,0.0,0,0,0,0,0,0,0
AU Small Finance Bank Ltd.,Financial Services,AUBANK,NSE_EQ|INE949L01017,0.0,0,0,0,0,0,0,0
AWL Agri Business Ltd.,Fast Moving Consumer Goods,AWL,NSE_EQ|INE699H01024,0.0,0,0,0,0,0,0,0
Aadhar Housing Finance Ltd.,Financial Services,AADHARHFC,NSE_EQ|INE883F01010,0.0,0,0,0,0,0,0,0
Aarti Industries Ltd.,Chemicals,AARTIIND,NSE_EQ|INE769A01020,0.0,0,0,0,0,0,0,0
Aavas Financiers Ltd.,Financial Services,AAVAS,NSE_EQ|INE216P01012,0.0,0,0,0,0,0,0,0
Abbott India Ltd.,Healthcare,ABBOTINDIA,NSE_EQ|INE358A01014,0.0,0,0,0,0,0,0,0
Action Construction Equipment Ltd.,Capital Goods,ACE,NSE_EQ|INE731H01025,0.0,0,0,0,0,0,0,0
Adani Energy Solutions Ltd.,Power,ADANIENSOL,NSE_EQ|INE931S01010,0.0,0,0,0,0,0,0,0
Adani Enterprises Ltd.,Metals & Mining,ADANIENT,NSE_EQ|INE423A01024,0.0,0,0,0,0,0,0,0
Adani Green Energy Ltd.,Power,ADANIGREEN,NSE_EQ|INE364U01010,0.0,0,0,0,0,0,0,0
Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS,NSE_EQ|INE742F01042,0.0,0,0,0,0,0,0,0
Adani Power Ltd.,Power,ADANIPOWER,NSE_EQ|INE814H01029,0.0,0,0,0,0,0,0,0
Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,ATGL,NSE_EQ|INE399L01023,0.0,0,0,0,0,0,0,0
Aditya Birla Capital Ltd.,Financial Services,ABCAPITAL,NSE_EQ|INE674K01013,0.0,0,0,0,0,0,0,0
Aditya Birla Fashion and Retail Ltd.,Consumer Services,ABFRL,NSE_EQ|INE647O01011,0.0,0,0,0,0,0,0,0
Aditya Birla Lifestyle Brands Ltd.,Consumer Services,ABLBL,NSE_EQ|INE14LE01019,0.0,0,0,0,0,0,0,0
Aditya Birla Real Estate Ltd.,Forest Materials,ABREL,NSE_EQ|INE055A01016,0.0,0,0,0,0,0,0,0
Aditya Birla Sun Life AMC Ltd.,Financial Services,ABSLAMC,NSE_EQ|INE404A01024,0.0,0,0,0,0,0,0,0
Aegis Logistics Ltd.,Oil Gas & Consumable Fuels,AEGISLOG,NSE_EQ|INE208C01025,0.0,0,0,0,0,0,0,0
Aegis Vopak Terminals Ltd.,Oil Gas & Consumable Fuels,AEGISVOPAK,NSE_EQ|INE0INX01018,0.0,0,0,0,0,0,0,0
Afcons Infrastructure Ltd.,Construction,AFCONS,NSE_EQ|INE101I01011,0.0,0,0,0,0,0,0,0
Affle 3i Ltd.,Information Technology,AFFLE,NSE_EQ|INE00WC01027,0.0,0,0,0,0,0,0,0
Ajanta Pharmaceuticals Ltd.,Healthcare,AJANTPHARM,NSE_EQ|INE031B01049,0.0,0,0,0,0,0,0,0
Akums Drugs and Pharmaceuticals Ltd.,Healthcare,AKUMS,NSE_EQ|INE09XN01023,0.0,0,0,0,0,0,0,0
Akzo Nobel India Ltd.,Consumer Durables,AKZOINDIA,NSE_EQ|INE133A01011,0.0,0,0,0,0,0,0,0
Alembic Pharmaceuticals Ltd.,Healthcare,APLLTD,NSE_EQ|INE901L01018,0.0,0,0,0,0,0,0,0
Alkem Laboratories Ltd.,Healthcare,ALKEM,NSE_EQ|INE540L01014,0.0,0,0,0,0,0,0,0
Alkyl Amines Chemicals Ltd.,Chemicals,ALKYLAMINE,NSE_EQ|INE150B01039,0.0,0,0,0,0,0,0,0
Alok Industries Ltd.,Textiles,ALOKINDS,NSE_EQ|INE270A01029,0.0,0,0,0,0,0,0,0
Amara Raja Energy & Mobility Ltd.,Automobile and Auto Components,ARE&M,NSE_EQ|INE885A01032,0.0,0,0,0,0,0,0,0
Amber Enterprises India Ltd.,Consumer Durables,AMBER,NSE_EQ|INE371P01015,0.0,0,0,0,0,0,0,0
Ambuja Cements Ltd.,Construction Materials,AMBUJACEM,NSE_EQ|INE079A01024,0.0,0,0,0,0,0,0,0
Anand Rathi Wealth Ltd.,Financial Services,ANANDRATHI,NSE_EQ|INE463V01026,0.0,0,0,0,0,0,0,0
Anant Raj Ltd.,Realty,ANANTRAJ,NSE_EQ|INE242C01024,0.0,0,0,0,0,0,0,0
Angel One Ltd.,Financial Services,ANGELONE,NSE_EQ|INE732I01013,0.0,0,0,0,0,0,0,0
Apar Industries Ltd.,Capital Goods,APARINDS,NSE_EQ|INE372A01015,0.0,0,0,0,0,0,0,0
Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP,NSE_EQ|INE437A01024,0.0,0,0,0,0,0,0,0
Apollo Tyres Ltd.,Automobile and Auto Components,APOLLOTYRE,NSE_EQ|INE438A01022,0.0,0,0,0,0,0,0,0
