symbol,stock_name,buy_price,sell_price,quantity,buy_date,sell_date,pnl,pnl_pct
INFY,Infosys,1650.0,1812.0,15,2024-12-01,2025-01-20,2430.0,9.82
TATAMOTORS,Tata Motors,780.0,892.0,20,2024-11-15,2025-01-10,2240.0,14.36
ICICIBANK,ICICI Bank,1180.0,1245.0,10,2024-12-10,2025-01-25,650.0,5.51
BHARTIARTL,Bharti Airtel,1520.0,1480.0,8,2025-01-05,2025-01-30,-320.0,-2.63
HINDUNILVR,Hindustan Unilever,2380.0,2456.0,5,2024-12-20,2025-02-01,380.0,3.19
TATASTEEL,Tata Steel,158.0,142.0,50,2025-01-08,2025-02-05,-800.0,-10.13
MAXHEALTH,Max Healthcare Institute Ltd.,1086.4,1090.0,1,2026-02-24,2026-03-27,3.6,0.33
ASTERDM,Aster DM Healthcare Ltd.,646.05,660.0,1,2026-02-23,2026-03-27,13.95,2.16
AJANTPHARM,Ajanta Pharmaceuticals Ltd.,2978.4,3000.0,1,2026-02-23,2026-03-27,21.6,0.73
INFY,Infosys Ltd.,1000.0,1001.0,1,2026-05-28,2026-05-29,1.0,0.1
